,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region,Unnamed: 0
133,22212.615699999995,168.17247307822146,-0.7698450101225208,177.14016034455977,161.8444784378164,586.5430702242052,134.0,161.0197628458498,180.0,0.9511278195488722,0.4064970492536297,8.82213438735178,8.873517786561266,188.56761254255727,253.0,2245.0,25091.0,312823.0,2232.0,19339.0,215017.0,2682175.0,24890.0,213991.0,2350353.0,28971883.0,309462.0,2654149.0,28812391.0,350698213.0,253.0,-8.526512829121202e-14,5169.95256916996,-1573.7669390242118,-3.623767952376511e-13,-466.69169960474335,1943.2202815229052,-19080.186347250947,5198.996047430831,1363.5760752394178,75804.33890324342,21331.96099047378,-1853.4085206767918,-18988.593261496026,66119.97215253636,-594357.5896383617,0.1619920420034806,0.00021284250042690706,8.790069879719453e-05,5.04026490873998e-08,1.0207740287997094e-13,5.15312837904455e-10,-2.890299434879896e-14,135,1.094508518637046,3.3111806440916927,3.6241154217044587,Crystal,../Images/Additional/crystal size L3 L4 L5/L3/L3_10nM_01.tif,135,
134,121686.50339999997,393.6191918459132,-1.1814957312200498,429.07601652977877,387.22967988487045,1581.542085020795,109.0,164.36507936507937,204.0,0.8856230031948882,0.4307456455218775,18.205627705627705,25.67965367965368,506.7602317664636,1386.0,35592.0,1090784.0,37374384.0,25233.0,636140.0,18803042.0,621893390.0,612183.0,14900062.0,420323968.0,13248680512.0,17039427.0,401959592.0,10871055746.0,327154247894.0,1386.0,-5.186961971048731e-12,176793.76623376622,283423.2614831058,5.684341886080801e-13,-11834.701298701297,-447543.34974981716,-639466.0890713268,152800.3961038961,-389669.0968684991,16466112.208601685,-92896107.07949032,330596.9648057571,-2556827.280924563,-57874252.58634206,318061058.4520873,0.17157462188243094,0.0003078192345887283,0.0009598389983103809,4.881002841394168e-06,3.264514299046101e-10,-6.569727498173461e-08,7.102983378317831e-11,136,1.1080659330073819,3.6859251603288636,4.084248101775186,Crystal,../Images/Additional/crystal size L3 L4 L5/L3/L3_10nM_01.tif,136,
135,700004.6836999998,944.0729022626746,1.0212348941343916,1264.045604228206,793.3701616337664,4530.057987506334,101.0,157.28935156152014,194.0,0.8290527191431839,0.7785007922548751,55.508842342907315,68.88160040135458,1271.1813184986631,7973.0,549193.0,45398619.0,4099297603.0,442572.0,32933121.0,2808740397.0,256771392561.0,29638614.0,2319850471.0,201019131043.0,18439337757103.0,2240493582.0,181186896645.0,15831484093845.0,1451548828333209.0,7973.0,-6.906475391588174e-12,7569326.2307788795,-70606539.20334764,-8.094502845779061e-11,2448053.347171705,-48536052.498876266,4408199500.751612,5071954.626614827,6518090.411645347,4120205079.826907,-37760396625.37655,32211770.73343119,3143620233.1296487,-31084355172.567665,4450079845870.127,0.19886005361840264,0.007475587845605906,0.001233719073388198,0.00013575356272866782,5.212506028292326e-08,9.685347936142503e-06,-1.9222497974715406e-08,137,1.5932608325289042,3.583777335527599,5.709892061200921,Multiple Crystal,../Images/Additional/crystal size L3 L4 L5/L3/L3_10nM_01.tif,137,
136,617387.8007999999,886.6129721674702,-0.3545412760057996,1392.2369885268592,582.5138181460071,4153.593224013385,100.0,160.1970989761092,193.0,0.8895635673624288,0.9082622532950172,65.94226393629124,41.71146188850967,1354.767210446134,7032.0,293315.0,14897893.0,842869277.0,463706.0,16735873.0,756954253.0,38828803327.0,39316132.0,1316241877.0,55346308909.0,2647008126595.0,3731310032.0,119731301449.0,4796066555989.0,218119486017943.0,7032.0,1.0771827874123119e-11,2663295.556171785,-723521.2667882356,8.86757334228605e-12,-2605982.146473264,-8047889.331113284,-2142814059.1467893,8738308.559158135,19997260.51039021,3425945373.28462,23975081661.19954,-13732420.027583001,-5867669709.736651,-36800667575.71399,-4460234744553.322,0.23057288482235605,0.02620243670438701,0.0002206926922369496,4.919303449248454e-05,4.653400127218275e-09,5.8817128677252475e-06,2.149001960704947e-09,138,2.390049720980001,2.9833952539993542,7.1304629943942155,Crystal,../Images/Additional/crystal size L3 L4 L5/L3/L3_10nM_01.tif,138,
137,370415.12109999993,686.7511777582795,-0.5192200501607622,1061.0038367616037,475.71188042092854,3251.9612565182056,105.0,157.10594927707987,200.0,0.8421157684630739,0.8938529751718072,48.41739748755629,43.47191277553923,1006.4793252720096,4219.0,183408.0,9317880.0,519629166.0,204273.0,7716390.0,351029622.0,17866647882.0,12606247.0,436923600.0,18406363996.0,871905334968.0,868742175.0,28542477576.0,1143794225232.0,51603495824904.0,4219.0,-8.213874025386758e-12,1344783.4216639018,-2357515.830070097,-3.8113512346171774e-11,-1163748.0383977254,1062828.734510492,-833275321.3544831,2715879.9630244123,1597232.6900300463,986511308.181677,-901220189.8392841,-4611176.2217994975,-1271078635.7397397,553837455.5419995,-857482815848.2925,0.22812765627342185,0.023031106203704688,8.374539347779132e-05,9.851414360675772e-06,5.5013058724938795e-11,1.6443780632021667e-07,-2.7756285851734714e-10,139,2.2303496726270233,3.0649853882186164,6.835989157220002,Crystal,../Images/Additional/crystal size L3 L4 L5/L3/L3_10nM_01.tif,139,
138,250221.16499999995,564.4390863571568,-0.1435311549169397,754.3946704647856,453.6572196258917,2449.5181079435897,103.0,153.40877192982455,195.0,0.8848183793852841,0.7989837380201193,37.86666666666667,24.48701754385965,768.6827284387232,2850.0,69788.0,2141524.0,74536136.0,107920.0,2538291.0,74190489.0,2467607583.0,5226120.0,118673081.0,3277842867.0,102696304685.0,291090568.0,6433795977.0,169422293751.0,5025769633941.0,2850.0,-7.673861546209082e-12,432624.0196491229,909256.3233172038,-1.5944578990456648e-11,-104347.93333333332,-1791547.1182690081,-35513042.46728559,1139549.333333333,-1396394.3085380127,114945082.18209812,28540652.478638873,6892954.488888889,-86644839.7683743,34247839.32885965,-20646948436.629784,0.19355781507940362,0.008234896740025241,0.000938622278987115,0.00013966831183964175,5.0273769407075465e-08,1.2615226311609666e-05,-5.464867977862343e-09,140,1.662917810691731,3.246998161366161,5.399491073819092,Crystal,../Images/Additional/crystal size L3 L4 L5/L3/L3_10nM_01.tif,140,
139,49517.451599999986,251.09276678476712,0.03489504142646224,263.73948811903716,249.06842546698422,955.5784242568717,108.0,151.75,177.0,0.8771384136858476,0.3288766092570527,13.452127659574469,12.900709219858156,296.3054167577771,564.0,7276.0,118776.0,2154154.0,7587.0,97983.0,1608497.0,29272815.0,129985.0,1710255.0,28208245.0,512777583.0,2502711.0,33647709.0,557631647.0,10118585037.0,564.0,3.410605131648481e-13,24910.439716312052,-20865.316935767773,-1.623590151211829e-12,105.31914893616874,7989.701674965994,-66942.32080078604,27923.707446808505,30522.7787837634,991678.8381987186,1456392.6772841192,2869.631564056065,71997.60051361441,997625.0479683871,-8222475.50853443,0.16609497498591796,9.017290139314967e-05,0.00022931288587074592,3.7006780225941857e-06,9.824255909081092e-11,6.526863349435123e-09,-4.438661844628931e-11,141,1.0589037435176532,3.62319056229296,3.836610049889846,Crystal,../Images/Additional/crystal size L3 L4 L5/L3/L3_10nM_01.tif,141,
140,505710.14399999985,802.4276624808704,0.20558400425817722,1198.777585690559,609.8945720321237,3828.801374043821,103.0,159.05416666666667,194.0,0.8291348783647617,0.8609061815170709,53.788020833333334,38.79045138888889,1200.8597264043788,5760.0,223433.0,10374285.0,527941271.0,309819.0,12890779.0,613706307.0,31432360753.0,22375067.0,964471725.0,46053281133.0,2341751800647.0,1883839221.0,82489990195.0,3925931350059.0,197872549234213.0,5760.0,6.465938895416912e-12,1707218.0748263886,-6929446.470550197,-7.177902716648532e-11,872760.141145834,-12015470.369492026,493976981.2025015,5710516.173437501,2644694.904458001,1249774349.880952,-2890747616.775947,66013925.244884446,1413176644.292772,-2158236429.287932,675951112093.6721,0.22357657721667298,0.017327442456115668,0.0016777081369880682,0.000462781665620522,3.783588758533606e-07,5.130192973477778e-05,1.52073699868202e-07,142,1.9655488680548843,3.1939213910462216,6.277808574827183,Multiple Crystal,../Images/Additional/crystal size L3 L4 L5/L3/L3_10nM_01.tif,142,
141,263654.09069999994,579.3917624633882,0.013049618957237575,679.8084698198284,500.1238295082613,2231.1257849599233,97.0,159.44988344988346,192.0,0.9259944495837188,0.6773255384268532,38.112554112554115,26.257742257742258,725.8575596492744,3003.0,78852.0,2605254.0,96760992.0,114452.0,3011165.0,99925009.0,3728723951.0,5349918.0,140605105.0,4623736389.0,171027449803.0,278792090.0,7315241651.0,237577362055.0,8678987436089.0,3003.0,-5.7269744502264075e-12,534778.5074925076,268751.5226112561,9.414691248821327e-12,5913.883116883123,321554.5108008891,3353203.274993117,987859.9567099566,-322449.32467099925,127081917.8971016,129051587.01672664,-406681.3841944543,5887979.801366736,95037204.4269465,3679477769.337342,0.1688441943451669,0.0025259636422472758,1.3956943252982259e-05,4.147958816438952e-08,1.8237568860925715e-14,9.467074853728206e-10,-2.5757905695885652e-14,143,1.3592803016169797,3.28199174327917,4.461146726708947,Crystal,../Images/Additional/crystal size L3 L4 L5/L3/L3_10nM_01.tif,143,
142,521952.57049999986,815.2120296197595,-0.2739244924010653,1125.623380891757,628.8574807160905,3822.7037753778977,100.0,155.413456686291,194.0,0.8124914582479158,0.8293867642968494,57.81362489486964,41.76619007569386,1137.8282328189962,5945.0,248300.0,12314080.0,678673754.0,343702.0,13394534.0,641451146.0,34710667610.0,24962894.0,915558154.0,41910830958.0,2187533375410.0,2024069632.0,70689037184.0,3094654734176.0,155004901256888.0,5945.0,-7.15942860551877e-11,1943535.0042052136,2013443.3039008272,-2.18470574964158e-10,-960589.061396131,9769834.600389998,-723071690.2704731,5092235.496383514,-15976550.296056168,1351956682.780913,-14353044862.779034,-7926943.734905695,-1445590427.7912014,12635665800.866228,-935950308686.1205,0.1990709765388992,0.010891777899896081,0.0005225998939024019,2.6711906384482198e-05,-1.6130346325401522e-09,-1.9215498099056246e-06,2.7126894711830527e-09,144,1.7899498939091745,3.396077089611822,6.078807826258059,Multiple Crystal,../Images/Additional/crystal size L3 L4 L5/L3/L3_10nM_01.tif,144,
