,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region
10,10,10,10,10,337140.0959999999,655.179442857458,-0.7334961607803923,760.9070337262497,585.148120262821,3049.093657852282,120.0,160.59505208333334,202.0,0.863697705802969,0.6392320012545023,41.095052083333336,38.91354166666667,853.1332258211492,3840.0,149428.0,7040598.0,367362280.0,157805.0,5819135.0,268344255.0,13863682751.0,7777841.0,274952935.0,12345837171.0,624571595287.0,422795891.0,14461607507.0,632876792103.0,31270616613959.0,3840.0,-2.501110429875553e-12,1225825.2958333327,-2014731.082178828,-2.8379076866258398e-11,-321616.4427083334,4040983.18021918,-243799843.41317165,1292836.3059895828,-1276715.9022976356,322448031.09466654,-2507082877.300699,-3093240.650617825,-204037159.551652,2296142205.0986323,-145053367319.05185,0.1708076715645965,0.0019235330432083,0.0002812510115072,1.4051088793608508e-05,5.839815571602951e-10,2.71877353471688e-07,6.627201710425552e-10,11,1.3003665352022085,4.0071829050134,5.210806550113794,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",11
11,11,11,11,11,21510.2405,165.4922621193023,-1.4662578138507163,330.29893090195657,109.05176739850631,973.0437391143334,122.0,139.0204081632653,161.0,0.5833333333333334,0.943924695028485,9.453061224489796,15.661224489795918,356.5528168448539,245.0,3837.0,78935.0,1902219.0,2316.0,34512.0,698014.0,16870176.0,24152.0,338774.0,6613440.0,157659698.0,271560.0,3547074.0,65857504.0,1529752182.0,245.0,1.7053025658242404e-13,18842.88163265306,75795.04633069552,1.2256862191861728e-13,-1759.395918367347,6945.201132861318,-143325.75875793246,2258.710204081632,-6212.539208663058,110951.5387219951,-624878.7829945789,546.2136109954231,-58044.78962649917,435553.0782394012,-5483827.255123472,0.3515467194791286,0.0797714649196086,0.0105685010128828,0.0055484893457716,4.22309430075808e-05,0.0014286138274295,4.668911775330384e-06,12,3.028826939548351,2.9459487999468106,8.922769087809035,Incomplete,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",12
12,12,12,12,12,535209.9023999999,825.5000984067335,1.5355984799442266,970.5171240348616,713.5501189378879,3248.745980835949,112.0,173.1479658792651,217.0,0.9377018920166128,0.6778212703556837,39.8128280839895,48.21998031496063,999.0810558207976,6096.0,293949.0,18259337.0,1285952289.0,242699.0,11768986.0,733497166.0,51896566102.0,11874363.0,571657842.0,35057385398.0,2445853499574.0,648549929.0,30823777402.0,1848426249994.0,126391818699946.0,6096.0,-6.0964566728216596e-12,4085122.006397638,11518412.830354571,-1.0658141036401504e-10,66044.9975393707,171944.12887124642,213598420.67639923,2211829.436843832,-6182584.37838175,1047736816.1906524,-4559552368.968774,-320413.96622742893,-24905005.756327327,16438296.72433478,96755768122.243,0.1694495530835554,0.0025537909121037,0.0001074650255776,3.384659939236497e-06,6.415234678529268e-11,1.696873184946402e-07,-7.167192378889882e-12,13,1.3601246755861616,3.347438082627022,4.552933136177841,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",13
13,13,13,13,13,1238287.4775999996,1255.6419012722845,-0.3998521697219038,1785.1728129335204,997.2724938287222,6832.766921040872,114.0,175.89846851956892,223.0,0.73839066017486,0.8294089017543411,89.32444696539989,81.52190867838911,1874.0234248535955,14104.0,1149785.0,107053761.0,10958052623.0,1259832.0,94811291.0,8281110669.0,808524197501.0,141194814.0,9975620803.0,813391029625.0,74379962800537.0,18023566968.0,1221514600613.0,93900185967675.0,8023668482010755.0,14104.0,-7.406697477563283e-11,13321093.230218371,58903803.45956642,-7.252651812450495e-10,-7892618.254112318,5435281.199166176,-14268277866.329674,28661017.330686323,-124842408.45493236,18025174702.53964,-76524369464.18855,291159248.0089018,-25424329444.12801,66788778915.90692,-31944576932860.27,0.2110472363356483,0.0122437061523257,0.0004719712770629,0.0001654118011242,4.3425508633343287e-08,1.7115636190853804e-05,-1.582065227887636e-08,14,1.790055199537186,3.827510071595138,6.851454304939823,Incomplete,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",14
14,14,14,14,14,2081049.9207,1627.7822500577938,0.118525677292348,2731.806235489386,1106.554642431738,7686.311726620667,106.0,172.69565033961945,215.0,0.877011877011877,0.91428861173244,124.9594144201156,77.6023710078893,2561.834082996008,23703.0,1839409.0,164875271.0,16030586605.0,2961913.0,242211172.0,22214751810.0,2186319524596.0,494569747.0,41501438352.0,3843855445442.0,379999953046320.0,93782204521.0,8000878464394.0,746593812994956.0,7.407883756330528e+16,23703.0,-6.866684998385608e-11,22132771.34674936,-199236412.13474184,7.394191925413907e-10,12359700.480909584,-306249631.04973394,31148807597.804,124450832.95667224,32731487.02308801,111935255411.30733,-897619105931.2655,878452125.25253,131901910952.5663,-1213963696214.2688,252160016640919.1,0.2609028139634864,0.0351016755136152,0.0004435184699921,4.746598521457974e-05,3.642369448196186e-09,6.174116521984024e-06,5.844981549778476e-09,15,2.468749513793584,2.813637229012223,6.946165541115452,Incomplete,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",15
15,15,15,15,15,556544.5490999998,841.7924496697034,-1.5452244607868737,1022.6861593862384,718.9351215113186,3886.467436141821,116.0,171.4451806278593,214.0,0.8653924914675768,0.7112026533024975,40.89698690645212,53.15444076352737,1085.5055020127718,6339.0,336946.0,22628228.0,1716310942.0,259246.0,13719057.0,914812897.0,68586344721.0,12936330.0,678921377.0,44431210105.0,3255856499957.0,722776702.0,37749339957.0,2430869792845.0,174457639890501.0,6339.0,1.8374635146756188e-11,4718051.802492508,11949327.080725666,5.615419240712072e-11,-61019.15018141733,-4126569.6246955073,-430355372.063578,2333949.7324499134,-3711010.91041756,1252361558.8002934,-2222472472.9288387,2816760.075813167,92031276.26687407,4233464886.0653496,-140137439323.26947,0.1754974839918288,0.0035294184699957,7.461651409517925e-05,6.798525151174321e-06,1.5221032808188826e-10,3.898789058308938e-07,1.6690513070028776e-11,16,1.422501320058458,3.800254262240403,5.405866704594755,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",16
16,16,16,16,16,174803.62789999996,471.76995623444566,-0.1350402421029875,513.5058494916442,445.6314467861634,1959.614486354872,113.0,188.98442993470616,222.0,0.9103795153177868,0.496875982503989,26.824711200401808,26.80462079357107,558.5966188583672,1991.0,53368.0,1713646.0,60827728.0,53408.0,1419272.0,45631690.0,1630361726.0,1804716.0,48061068.0,1536802282.0,54600395130.0,68067512.0,1817157518.0,57575895196.0,2024557902512.0,1991.0,6.195932655828074e-12,283136.9974886991,-284662.9050496172,1.764988155628089e-11,-12309.187343043666,323517.14829086646,-807775.0600171338,372061.82420894,346720.77108717035,35859098.39538934,105569238.1081578,-304375.46494332416,-8696597.16818317,15877585.268139243,-681444181.6104218,0.1652839136479903,0.0005417922028732,0.0001080531791429,1.3480540797819196e-07,4.776902752338428e-14,-2.970205702862531e-09,-5.122709290059139e-13,17,1.1523106216919436,3.8161483229350415,4.397388246469945,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",17
17,17,17,17,17,543989.5923999998,832.243390462215,1.2792337246762022,1105.4961439947444,652.675741073224,3579.635429471436,106.0,179.8812136862492,220.0,0.8872977230416726,0.8071168736634499,39.04260813428018,61.03260167850226,1125.0635125627352,6196.0,378158.0,28180288.0,2325764618.0,241908.0,15731068.0,1211260356.0,101688997744.0,11613784.0,790650390.0,61903160286.0,5224230139086.0,628390470.0,44292114358.0,3507069150762.0,296529552297742.0,6196.0,-4.160938260611147e-11,5100321.414460942,-16723445.331737,7.029399284874671e-11,966793.3931568748,-6983417.635060535,1359875874.960601,2169064.7514525503,6338665.956167392,1424107935.7764022,4332969384.493296,5586162.114143491,776252208.9061726,2877850935.8020496,761976558294.8628,0.1893541910541811,0.0083666863509529,0.0002169874655036,1.202345652299522e-05,5.969000699828967e-10,1.0454509636566573e-06,-1.4445666790530922e-10,18,1.6937907668774812,3.2380352015849763,5.484554127268896,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",18
18,18,18,18,18,551715.7195999998,838.1326098218209,1.0989465322513825,1133.7939149908657,659.2276261146742,3772.91432674241,116.0,180.26527689369829,214.0,0.8551986935220468,0.8135927577666151,40.222151495862505,67.75970719287078,1245.3995484983925,6284.0,425802.0,33816296.0,2927134812.0,252756.0,18667777.0,1548536479.0,137760718663.0,12896860.0,1000643633.0,84774916687.0,7623938790371.0,749223786.0,59676687799.0,5104550339113.0,460532793826849.0,6284.0,6.197353741299594e-11,4964077.1578612365,-36976332.70643838,1.1360157259332482e-10,1541104.448758752,-20477274.143976457,2960282296.1548443,2730469.876511776,2783102.474708099,1998925196.9060583,-16696878095.98106,10833583.203179397,1093980731.043575,-7671112482.630893,1840897303724.367,0.1948546193715231,0.0092916769475415,0.0007425979364799,0.0001288070531726,3.915041551441625e-08,1.1465258593045988e-05,-7.364062548346815e-09,19,1.7198822835644323,3.327689694623918,5.723234550983612,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",19
19,19,19,19,19,4412935.584699999,2370.3847988900507,0.3231108372678694,3274.842946024493,2030.3667112072897,12705.44585457541,108.0,175.02013409466207,221.0,0.7660174347720068,0.7846104759733781,184.1670015717327,109.89600700316336,3268.357542573945,50263.0,5523703.0,778351343.0,127546265467.0,9256786.0,1088410177.0,161984583277.0,27643254298285.0,2064712110.0,250947581109.0,38017408439569.0,6547064389700673.0,504737155036.0,62205057728017.0,9437677998328092.0,1.6188667712633006e+18,50263.0,-2.3283064365386963e-10,171318439.42860556,4354135987.316292,8.323695510625841e-09,71126357.91721532,3004944811.799135,585739401773.5796,359917588.18880683,-2154291531.739084,879421745397.7031,1587604462301.7031,-8084569430.86998,689426619408.1029,-498847951195.3633,3576332643789730.0,0.2102764845834818,0.0087434569583436,0.0012761536728911,9.551546318880816e-05,-7.254949778177056e-09,9.555920018789863e-07,3.254865562538952e-08,20,1.612931756587566,3.8797115049438418,6.25770989272206,Crystal,"../Images/Additional/L2 2.5, 5, 10 nM/L2 10nM/L2_10nM_05.bmp",20
